target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
3606,3610,4018,1,1.47826086956523,1.02031242584919,2.16119271531636,0.0412121159861623,NA,0.390866308687017,0.191470705071142,132,132,21938,28128,99,86,0.14914043387548762,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,44783954,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,374923,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,381581,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,140480,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,73241,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4038835,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4215978,1,1.24332095838356e-8,5.53957960386068e-17,0.616385659433303,0.0534590680511435,NA,-18.202894752057,9.42572052787716,132,132,47508,45070,0,-5,0.04474440985434379,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4249170,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4088290,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,440329,1,4,0.59185271742594,78.2022693162452,0.265839575195854,NA,1.38629436111989,1.24588925312536,132,132,46675,46103,-5,-5,0.6062384027769898,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,441818,1,NA,NA,NA,NA,NA,NA,NA,132,132,47213,46174,-5,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,432303,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4019,1,1.49999999999999,1.028087317043,2.20993845148277,0.0378088540382087,NA,0.40546510810816,0.195224139062424,132,132,23764,30777,96,76,0.16982991574355508,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4231770,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,201606,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,78619,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4115402,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,46269889,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,380688,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,72748,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,140648,1,1.24332095838356e-8,5.53957960386068e-17,0.616385659433303,0.0534590680511435,NA,-18.202894752057,9.42572052787716,132,132,47508,45070,0,-5,0.04474440985434379,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4110709,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,373478,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4234533,1,3.37969688233982e-8,NA,1.61261533522059,NA,NA,-17.20289471826,NA,132,132,47508,45765,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,253954,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,441589,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,81151,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,443285,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,380706,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,81378,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4083487,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,254443,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,73008,1,9.18696946496804e-8,NA,5.82563168566824,NA,NA,-16.2028946263903,NA,132,132,47508,45856,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,441788,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,378424,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4087647,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,259995,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,436634,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,81634,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4092896,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,378427,1,9.59713049391343e-10,NA,1.6128993594941201,NA,NA,-20.7643867830323,NA,132,132,47234,45525,-5,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4091513,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,444132,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,134461,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,196168,1,NA,NA,NA,NA,NA,NA,NA,132,132,47501,46174,-5,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4166231,1,4.83333333333332,2.15199551963876,12.899965351605,0.00056334240865151995,NA,1.57553636075842,0.456852544032093,132,132,38825,42561,32,14,0.09694276040319419,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,260134,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,438531,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,437082,1,9.18696946496804e-8,NA,5.82563168566824,NA,NA,-16.2028946263903,NA,132,132,47508,45856,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,192606,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,376707,1,1.125,0.430153782593287,2.99624929657292,0.811981291072985,NA,0.117783035656384,0.495155469080007,132,132,44880,43503,9,8,0.25568988656470615,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,433527,1,NA,NA,NA,NA,NA,NA,NA,132,132,47430,46174,-5,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,136368,1,9.18696946496804e-8,NA,5.82563168566824,NA,NA,-16.2028946263903,NA,132,132,47508,46005,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4254542,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,76786,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,81893,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,73560,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,432593,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4012570,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,137951,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,443172,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,196456,1,NA,NA,NA,NA,NA,NA,NA,132,132,47448,46174,-5,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,433577,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,74855,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4092879,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,133655,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4291005,1,0.666666666666667,0.0878069099969247,4.02226849459034,0.677712682686924,NA,-0.405465108108164,0.975645765854495,132,132,46887,45350,-5,-5,0.26028762875742645,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,200775,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,134438,1,9.18696946496804e-8,NA,5.82563168566824,NA,NA,-16.2028946263903,NA,132,132,47508,45982,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,434165,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,75354,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,374375,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,443767,1,NA,NA,NA,NA,NA,NA,NA,132,132,47304,46165,-5,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4344500,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4248870,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,195873,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,433111,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4030042,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,434203,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,77965,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,380038,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,36713918,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,75911,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,438329,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4103703,1,9.18696946496804e-8,NA,5.82563168566824,NA,NA,-16.2028946263903,NA,132,132,47508,45970,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,75576,1,1.3212166399381701e-9,3.0020638072275797e-28,5.82580618024491,0.218551777606402,NA,-20.4447128279271,16.6164737004453,132,132,47303,45944,-5,-5,0.20273607435370994,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4345472,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,434327,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4201717,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,139099,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,45757370,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,140641,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4169984,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4170770,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,432595,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4012934,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4202045,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,199192,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,438688,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,77650,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,377572,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,436409,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4103640,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,439790,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,194083,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,40480893,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,438130,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4112731,1,NA,NA,NA,NA,NA,NA,NA,132,132,47200,46174,-5,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,437264,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4134455,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,434926,1,NA,NA,NA,NA,NA,NA,NA,132,132,47205,45982,-5,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4213540,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,440638,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,440193,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,141932,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,46286594,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,40481632,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,140842,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4156115,1,NA,NA,NA,NA,NA,NA,NA,132,132,47314,45816,-5,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4201390,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4050747,1,NA,NA,NA,NA,NA,NA,NA,132,132,47168,45895,-5,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,196236,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4209423,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4115367,1,NA,NA,NA,NA,NA,NA,NA,132,132,47508,46174,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,376707,10,0.352193808215878,0.137956821144177,0.78693566921617,0.018805295984486,NA,-1.04357366338156,0.444193304338689,121,641,24218,22530,7,32,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,259995,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,443172,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4087647,10,5.55709760447215e-6,NA,26.5848694716713,NA,NA,-12.1004345995825,NA,121,641,25993,23100,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,436634,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,438531,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4213540,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,133655,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,194083,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,440329,10,1250546457686254,8.75179677125483e-10,NA,NA,NA,34.7623570168446,NA,121,641,25567,23102,-5,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,437264,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4231770,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,81151,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4083487,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,434327,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,72748,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,432303,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4038835,10,1.47758904327875e-6,NA,19.4156719964466,NA,NA,-13.4250988233036,NA,121,641,25993,23102,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,433577,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,373478,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4092896,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,440193,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,74855,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4201717,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,441589,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,441788,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,46286594,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4134455,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4012570,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4166231,10,0.941027059591793,0.510885242269441,1.73454964480642,0.845452729907819,NA,-0.0607833836021399,0.311831775339719,121,641,20266,22276,27,27,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,441818,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,201606,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4344500,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4249170,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,81634,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,374375,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,433111,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,437082,10,1.43774235650839e-6,NA,10.0549324886126,NA,NA,-13.4524364826537,NA,121,641,25993,23087,0,-5,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4254542,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,380038,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4248870,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,137951,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,433527,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,36713918,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,4018,10,0.821522541426861,0.586905284817134,1.13724796508969,0.244024708380803,NA,-0.196595902530248,0.168753892976498,121,641,10832,16084,74,233,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,77965,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
3606,3610,440638,10,NA,NA,NA,NA,NA,NA,NA,121,641,25993,23102,0,0,NA,NA,NA,NA,NA,NA,CDMPv535_ABMI
